Role Category,Role Subcategory,Role Hierarchy,Role title,Variants,Role class on Compass,Hierarchy or Location,Line manager to help make the application,"Approval process 
(see 4.5)",Approver,Relevant Commissioner or body,Responsible for induction,"Getting Started requirement for full appointment 
(within 5 months)",Training Obligations,Minimum Membership,Ex Officio Charity Trustee role?sv,Criminal Records Disclosure Check Required?++,Appointment Review Required?
PROGRAMME DELIVERY ROLES,Beaver Colony Leadership Team roles,Scout Group Roles,Section Leader - Beavers,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate (within 3 years)

Trustee Introduction required within 5 months if opts-in to Trustee role",Member,"Yes 
(if opts-in)",Yes,Yes
PROGRAMME DELIVERY ROLES,Beaver Colony Leadership Team roles,Scout Group Roles,Assistant Section Leader - Beavers,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3",[Section] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Beaver Colony Leadership Team roles,Scout Group Roles,Section Assistant - Beavers,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding and 3",No requirement,Associate Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Cub Pack Leadership Team roles,Scout Group Roles,Section Leader - Cubs,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate (within 3 years)

Trustee Introduction required within 5 months if opts-in to Trustee role",Member,"Yes 
(if opts-in)",Yes,Yes
PROGRAMME DELIVERY ROLES,Cub Pack Leadership Team roles,Scout Group Roles,Assistant Section Leader - Cubs,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3",[Section] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Cub Pack Leadership Team roles,Scout Group Roles,Section Assistant - Cubs,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding and 3",No requirement,Associate Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Scout Troop Leadership Team roles,Scout Group Roles,Section Leader -  Scouts,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate (within 3 years)

Trustee Introduction required within 5 months if opts-in to Trustee role",Member,"Yes 
(if opts-in)",Yes,Yes
PROGRAMME DELIVERY ROLES,Scout Troop Leadership Team roles,Scout Group Roles,Assistant Section Leader - Scouts,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3",[Section] Wood Badge and First Aid certificate (within 3 years),Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Scout Troop Leadership Team roles,Scout Group Roles,Section Assistant - Scouts,None,Leader,Group,Group Scout Leader,1,District Appointments Advisory Committee.,"District Commissioner
or nominee",Group Scout Leader,"Modules 1, GDPR, Safety, Safeguarding and 3",No requirement,Associate Member,No,Yes,Yes
PROGRAMME DELIVERY ROLES,Explorer Unit Leadership Team roles (may be linked with Group(s) via Partnership Agreements),Scout District Roles,Section Leader - Explorers,None,Leader,District,District Explorer Scout Commissioner,1,District Appointments Advisory Committee,"District Commissioner
or nominee",District Explorer Scout Commissioner,"Modules 1, GDPR, Safety, Safeguarding, 2 and 3","[Section] Wood Badge and First Aid certificate (within 3 years)

Trustee Introduction required within 5 months if opts-in to Trustee role (under the terms of a Partnership Agreement with a Group)",Member,No unless opts-in to a Group Executive role under the terms of a Partnership Agreement with a Group.,Yes,Yes
